"shot_id","shot_made_flag"
1,0.396434870362224
8,0.398110938072351
17,0.633494216203645
20,0.685232561826731
33,0.371005642414224
34,0.43901803493509
35,0.50797816216938
36,0.478544193506135
37,0.658385473489753
38,0.398967868089566
45,0.461957278847699
50,0.318842753768009
55,0.307314690947522
60,0.304550382494878
66,0.339186277985579
67,0.385209953784975
71,0.402375090122349
80,0.316353814303875
85,0.375540122389743
86,0.540428987145498
95,0.536508440971226
104,0.412990891933573
113,0.362724271416801
123,0.355670237541222
126,0.697580420970922
133,0.601245427131654
141,0.340827894210773
144,0.400854748487578
150,0.653504157066483
152,0.451624107360825
153,0.668934464454523
156,0.458466875553144
159,0.836652898788555
165,0.7786032021045
172,0.421998083591413
182,0.871696794032931
192,0.408168542384993
193,0.659898018837058
196,0.336275541782485
202,0.3739628940822
210,0.375977388024443
211,0.403093844652209
228,0.811705750226987
257,0.43485242426381
260,0.456573212146764
264,0.424958243966074
267,0.575491955876307
279,0.855221331119402
282,0.40176544487488
293,0.352395120263199
299,0.737108951807051
300,0.632736554741731
301,0.692573121189987
317,0.395802167057963
327,0.412224343419065
328,0.315755531191804
335,0.485766825079982
346,0.712250757217277
348,0.32364171147342
365,0.435834315419136
390,0.69357596635821
391,0.663834589719632
392,0.682459434866976
397,0.37973614931104
418,0.423645377159218
428,0.218306311964948
434,0.523178276419506
439,0.555975204706203
440,0.387122878432132
456,0.448020485043384
459,0.339042466878799
472,0.407797858118981
480,0.301128953695443
491,0.375221574306396
497,0.418041732907275
509,0.40281112790093
511,0.404783847927924
523,0.249724799394657
533,0.43942597508425
544,0.475193089246623
546,0.365625020861708
555,0.656221288442698
558,0.375054186582543
560,0.375283572077845
573,0.378490391373522
591,0.406769490241959
596,0.375891867279881
597,0.35746531486521
601,0.49067111909377
605,0.453016757964942
617,0.334541040659092
628,0.403266441822185
634,0.397367116808921
646,0.358884483575879
649,0.409484571218354
651,0.703995376825446
654,0.811990761756941
656,0.559497180581065
657,0.447275277972186
669,0.395194637775439
670,0.844105404615312
693,0.643118870258349
694,0.342132306099056
699,0.438156944513232
711,0.404850479960338
718,0.428804659843425
722,0.356596276164205
723,0.377594172954454
725,0.614447504281907
734,0.367533156275733
735,0.496482414007261
737,0.701929277181614
746,0.34256119728094
747,0.609776669740624
766,0.369101721048349
767,0.343351384997511
771,0.39655584394922
773,0.334452307224231
774,0.418139454722418
783,0.351125752925846
784,0.380468273162808
789,0.356378608941968
792,0.398221412300998
804,0.324814328551386
809,0.350316739082257
812,0.282452543079936
813,0.401891121268144
817,0.373403888940702
820,0.371482062339856
825,0.328072476386967
826,0.325701928138825
829,0.384506478905826
855,0.398350214958145
859,0.690484756231435
862,0.378521117568056
870,0.391010427475065
876,0.369449007511224
880,0.349602699279758
886,0.886585825681654
889,0.747368004918002
891,0.493699449300826
897,0.903584903478581
902,0.39319084882744
903,0.385199874639529
908,0.31141059398659
909,0.407082149386385
920,0.344231969118027
922,0.399308747053274
924,0.575512182712436
932,0.36706680953493
934,0.362587657570828
937,0.36636620163904
941,0.365507286787059
943,0.393236175179374
950,0.422191053628936
952,0.356325715780278
954,0.877604246139534
963,0.333419862389579
975,0.378529956936702
979,0.386273592710638
981,0.398326849937481
983,0.133020754158524
985,0.543580883741419
989,0.511029562354122
995,0.399365085363313
